subID,expID,onset,offset,category,trialsID,instanceID,individual_prop_1,individual_prop_2,individual_prop_3,individual_prop_4,individual_prop_5,individual_prop_6,individual_prop_7,individual_prop_8,individual_prop_9,individual_prop_10,individual_prop_11,individual_prop_12,individual_prop_13,individual_prop_14,individual_prop_15,individual_prop_16,individual_prop_17,individual_prop_18,targetGaze
18511,185,174.0,176.25,6,1,61,0.0,0.0,0.0,0.0,0.0,0.64711,0.0,0.0,0.0,0.0,0.0,0.344,0.0,0.0,0.0,0.0,0.0,0.0,0.64711
18511,185,176.25,178.5,9,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72711,0.0,0.0,0.16622,0.0,0.0,0.097778,0.0,0.0,0.0,0.72711
18511,185,178.5,180.75,12,1,63,0.0,0.0,0.0,0.0,0.0,0.17733,0.0,0.0,0.10711,0.0,0.0,0.376,0.0,0.0,0.164,0.0,0.0,0.0,0.376
18511,185,180.75,183.0,15,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44311,0.0,0.0,0.52978,0.0,0.0,0.0,0.52978
18511,185,185.45,187.7,4,1,65,0.30756,0.0,0.0,0.079111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14178,0.19556,0.0,0.0,0.079111
18511,185,187.7,189.95,16,1,66,0.092,0.0,0.0,0.23156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13378,0.448,0.0,0.0,0.448
18511,185,189.95,192.2,15,1,67,0.0,0.0,0.0,0.21289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63111,0.13822,0.0,0.0,0.63111
18511,185,192.2,194.45,1,1,68,0.41556,0.0,0.0,0.38044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15956,0.0,0.0,0.0,0.41556
18511,185,196.9,199.15,9,1,69,0.0,0.11911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11422,0.0,0.0,0.65911,0.0,0.0
18511,185,199.15,201.4,14,1,70,0.0,0.23289,0.0,0.0,0.0,0.0,0.0,0.0,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14622,0.0,0.0
18511,185,201.4,203.65,2,1,71,0.0,0.69022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29244,0.0,0.0,0.0,0.0,0.69022
18511,185,203.65,205.9,17,1,72,0.0,0.48667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48667,0.0,0.0,0.0,0.0,0.0
18511,185,208.35,210.6,2,1,73,0.0,0.71911,0.0,0.0,0.18667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059111,0.0,0.0,0.0,0.0,0.0,0.71911
18511,185,210.6,212.85,5,1,74,0.0,0.015556,0.0,0.0,0.17778,0.0,0.0,0.0,0.0,0.0,0.648,0.0,0.10578,0.0,0.0,0.0,0.0,0.0,0.17778
18511,185,212.85,215.1,11,1,75,0.0,0.0,0.0,0.0,0.60311,0.0,0.0,0.0,0.0,0.0,0.098222,0.0,0.26267,0.0,0.0,0.0,0.0,0.0,0.098222
18511,185,215.1,217.35,13,1,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18511,185,219.8,222.05,1,1,77,0.11511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18533,0.0,0.0,0.0,0.33733,0.0,0.0,0.17689,0.11511
18511,185,222.05,224.3,11,1,78,0.15956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22133,0.0,0.0,0.0,0.0,0.0,0.0,0.42489,0.22133
18511,185,224.3,226.55,15,1,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27956,0.0,0.0,0.0,0.19556,0.0,0.0,0.0,0.19556
